//VBl	건축물
//VBp	신체부위
//VHn	인간


シヤワー	샤워
臀部	엉덩이	VBp
身体の中	몸속	VBp
局部	음부	VBp
根元から先端まで	뿌리부터 끝까지
顔中	얼굴 전체	VBp
さておき	재쳐두고	0
挟んで	끼워
後列	후열
サド	사디스트
//可愛い	귀엽다	0
//可愛らしい	귀엽다	0
容易く	쉽고	0
イッく	간닷
せーのっ	하나-둘
もう出んの	벌써 나와	0
灰白髪	회색 머리
太筆	굵은 글씨
スプリガン	스프리건
大丈夫かな	괜찮을까	0
昇り降り	오르내리기
エンター	엔터
ワタアメ	솜사탕#M
//その通り	맞아	//확인필요
キッチン	주방
ひとつでも	하나로도
様々な行動	다양한 행동	0
上がっていき	올라가고
草糸	풀실
左下	왼쪽 아래
食材	식재료
合成糸	합성 섬유
目を離せず	눈을 떼지 못하고
前後に	앞뒤로
突っ込んでこすって	넣어서 비비고	1
いますぐ	지금 당장	0
やめて下さい	그만두세요	0
性処理	성처리
監禁部屋	감금실
いか程だろうか	얼마나 될까	0
やめてくださ	그만둬주세
乾いた音	메마른 소리
黙れ	닥쳐
元の生活	원래 생활
最初から	처음부터
さすがだよ	역시 대단하군	0
そうしてくれ	그렇게 해 줘	0
聞こえているか	들리는가
クールタイム	쿨타임
味方一人	아군 한 명
ショートソード	 숏소드
マンティス	맨티스
オクト	옥토
バイブル	바이블
ブック	북
ぶあっくしょん	푸엣취
ダイヤモンド	다이아몬드#M	1
ダイヤ	다이아#M	1
むにょ	무뇨
リザードマン	리자드맨
とうちゃーく	도~착
アーマゲドン	아마겟돈
ごときなど	같은 것
仮にもし	만약에	0
マッスラー	머슬러
チェイサ	체이서
ブリリアント	브릴리언트
マジック	매직
バッシュ	배쉬
アビス	어비스
エレキ	일렉
フォトン	포톤
ぺーレン	페렌
プロテック	프로텍
サンダ	썬더
長いしっぽ	긴 꼬리
じめっと	축축
ぬるぬるのベトベト	미끈미끈 끈적끈적
ダマスカス	다마스쿠스
忘れ物したから	물건 놓고 와서
手掛かり	단서
よくここまで	잘도 여기까지	0
うわっ	우왓
お腹くるし	배가 괴로워
一体一体	하나하나
淫ら	음란
淫らな	음란한	0
ソックス	양말
けん玉	켄다마
ケン玉	켄다마
イッツ	잇츠
ショーターイム	쇼타임
それって	그건
意気	의기
せいっ	세잇
せいやっ	세이얏
せいやぁっ	세이야앗
必ずや	반드시	0
黙りなさい	닥치세요
膣中	질 안	1	VBp
よせよせ	그만둬
ねぇこれ	저기 이거
肉花弁	보지	VBp	//정확히 모름
発情臭	발정 냄새
牝臭	암컷 냄새
古い話	오래된 이야기	0
腰曲がりの	허리가 구부러진
自己申告	자진 신고
女蜜	여자의 꿀
なかなかやるわね	꽤 하네	0
八手	8수
デリカシー	섬세함	0
無理よね？	무리겠지?		1
寝かせておいてやれ	자게 냅둬
神輿	가마
予想外	예상 밖
返すわ	돌려줄게
心せよ	조심해라
休むんじゃ	쉬는 거 아니였어	1
ヒーリング	힐링
スティール	스틸
他の皆さん	다른 분들#N	0
ワーム	웜
フォーミュラー	포뮬러
ディフューザー	디퓨저
ブースター	부스터
セーバー	세이버
ヘリックス	헬릭스
アクセサリー	액세서리
キュアリ	큐어리
一騎当千	일기당천
スレイヤー	슬레이어
子が	아이가	0
マキビシ	마름쇠
サプライズ	서프라이즈
ビューティフル	뷰티풀
カルタ	카루타
読み札	읽는 쪽 카드
取り札	집는 쪽 카드
一文字	첫 글자
鹿肉	사슴고기
子供のうちに	어릴 때
それからが	그때가	0
わふふ	와후후
休憩なしは	휴식 없이는
空いている部屋	빈 방
一人の者	혼자인 사람
つぶされたって、	부서졌다니,
力技	괴력
文字通り	말그대로	0
股間部	고간	VBp
姉者	누님
ロシアン	러시안
俺相手	나 상대
見つけるなり	찾자마자
ワーウルフ	워울프
//素の	 본연의
//素	 본연
ヘマ	바보짓
アダマンタイト	아다만타이트
ヒヒイロカネ	히히이로카네
ミスリル	미스릴#M
職業訓練校	직업 훈련 학교
ち●ぽ	자지#M	VBp	
ち●こ	고추#M	VBp	
//不機嫌さ	불쾌함	0
男かこらぁ	남자냐	0
ちくしょうが	젠장
薬研	악연#M
ヒダヒダ	주름#M	VBp
畑跡	밭터#M
当面	현재로서#M
慌てて	황급히
//ベター	더 좋은
二頭目	두마리#M
駒落ち	말 빼기
ダッシュ	대쉬#M
樹海	수해#M
大樹海	대수해
バトルロイヤル	배틀로얄#M
れっつご	렛츠고#M
アタッカー	어태커#M
プリンセス	프린세스#M
てんてこ舞い	야단법석#M
ぼたん鍋	모란 나베#M
始末	처리#M
バーサーク	버서크#M
見た所	보니까
里親	수양부모#M
ド直球	돌직구
ゴブリン	고블린
いざ、	자,	//확인필요
中心地	중심지
バランス加減	밸런스 조절
済し崩し	조금씩
じぃん	지잉
幼少期	어린 시절#M
ポーチ	파우치#M
マイルド	마일드#M
甘ダレ	단맛
フィニッシャー	피니셔
朝一	아침 일찍
ウスイ本	얇은 책
陰口好き	험담꾼#M
クッキー	쿠키#M
醸造樽	양조통#M
豚皮	돼지 가죽#M
その通り	그 말대로#M
ただならぬ	심상치 않은#M	0
生胸	생가슴#M	VBp
ジャンピング	점핑#M
抱き心地	포옹감#M
スペシャル	스페셜#M
オトコノコ	오토코노코#M
インラインスケート	인라인 스케이트#M
ショッピングモール	쇼핑몰#M
パトロール	순찰#M
幹事	간사#M
マジ声	진짜 목소리#M
次の手	다음 수#M
ひとつ所	한 곳#M
ネカフェ	넷카페#M
タテヤクシャ	주역#M
敵影	적의 모습	#M
チェンソー	체인소#M
オススメ	추천#M
ヒッター	히터#M
アベレージヒッター	에버리지 히터#M
ジェスチャー	제스처#M
なんちゃって	농담이야#M
あおむし	애벌레#M
性知識	성지식#M
スルー	무시#M
ラッキー	럭키#M
ホワイト	화이트#M
種なし男	종 없는 남자#M
バージン	처녀#M
独断専行	독단 전행#M
ウェッジ	웨지#M
ナス	가지#M
フライドポテト	감자튀김#M
レーザー	레이저#M
鰹節	가쓰오부시#M
一礼	가볍게 인사#M
間抜け忍め	얼빠진 놈#M
お互いな	피차일반이다#M
まさしく	바로#M	0
勝ちどき	승리의 함성#M
すぱっと	척척#M
//ゲー	게임#M
しっちゃかめっちゃ	엄청 난장판#M
年頃	또래#M
おしどり夫婦	잉꼬 부부#M
はいよ	알겠어
チャンバー	챔버#M
サーチライト	서치라이트#M
スマイリー	스마일리#M
自衛	자위[自衛]
今の内に	지금 바로
大鎧	큰 갑옷#M
もうひと	한번 더	0
どうしよこれ	어떡하죠 이거
死に申した	죽었다고 한다
つま先立ち	까치발#M
全能力	모든 능력#M
人間の女	인간 여자#M
ゆるふわ	자연스러운#M
バッテリー	배터리#M
ドカーンと	콰광하고	//をドカーンと
ガーディアン	가디언#M
お化け	요괴#M
それで良しだ	그걸로 좋다	0
ヘルメット	헬멧#M
トラブルメーカー	트러블 메이커#M
隠し部屋	숨겨진 방#M
サカナ	물고기#M
大勢の	여럿	0
お代わりをくれ	한 그릇 더 줘
んとね、	음,	0
ジャーナリスト	저널리스트#M
遥々	멀리
知っているぞ	아는데	0	//知ってるぞ？
チェーンソー	체인소#M
ゲームクリア	게임 클리어
ストレンジャー	스트레인저#M
ブラッディ	블러디#M
エンジェル	엔젤#M
アロー	애로우#M
イレイザー	이레이서#M
ギャラクシィ	갤럭시#M
アルティメット	얼티메이트#M
ブラスター	블라스터#M
フルチャージ	풀 차지#M
エリクサー	엘릭서#M
クレリック	클레릭#M
ウォーリア	워리어#M
マンティコア	만티코어#M
ドラゴニック	드래고닉#M
チャーム	참#M
スフィア	스피어#M
死者	죽은 자#M
大盗賊	대도적#M
ピンチ	위기#M
マジックミラー	매직 미러#M
ミラージュ	미라쥬#M
イーター	이터#M
ミキシング	믹싱#M
エクリプス	이클립스#M
トライデント	트라이던트#M
コズミック	코즈믹#M
レゾナンス	레저넌스#M
イノセント	이노센트#M
水縛	수박[水縛]
デストロイヤー	디스트로이어#M
デストラクション	디스트럭션#M
リフレクト	리플렉트#M
防人	방인#M
彼奴ら	그 녀석들#N
ジャリ	꼬맹이#N
燃えかす	타다 남은 찌꺼기
シェフ	셰프#N
露程も	조금도	1
先月	저번달#M
リザード	리자드#M
ブサメン	추남#N	0
イケメン	훈남#N	0
アーティファクト	아티팩트#M	0
お前様	너님#N	1	VHn 
平に	부디	1
やり取り	주고받음	0
探しに	찾으러	0
わがまま娘	버릇없는 계집#N	0	//ワガママ
お子を	아이를	1
お子	아이#N	1
あらあら	아라아라	0
あらら	어라라	0
少なからず	적잖이	0
ばかもの	바보녀석	0
//男の子	남자 아이#N	0
ぴくっ	흠칫	0
ぎゅっ	꼬옥	0
一つ目	첫 번째	0
二つ目	두 번째	0
三つ目	세 번째	0
最初の時	처음 때	0
スキル上げ	스킬 올리기#M	1
ステータス	스테이터스#M	1
分体	분체#N	1
ファイア	파이어#M	1
秘め事	비밀#M	1
退散	퇴산#M	1
ゲイ	게이#M	1
アタック	어택#M	1
アメージング	어메이징#M	1
デンジャー	덴저#M	1
色男	미남#N	1
近くの	근처의	0	//キャンプ地近くの川
最奥	최심부#M	1	//洞窟の最奥
とーっても	엄~청	0	//とーっても大きくて、
ぎゃーぎゃー	꺄~ 꺄~	0
状況下	상황	//どんな状況下においても
えとえと	음 그러니까#M	//「えとえと、この砦には200名ほどいた筈ですが……
あいよ、	예이,#M	0	//「あいよ、アニキ」
リカバー	리커버#M	1
放銃	방총#M	1
喘ぎ声	신음소리#N	1
パンツ	팬티#M	1
ガマガエル	두꺼비#N	1
ご説明	설명#M	0	//ひとつご説明を
もう１本	하나 더	0
もう一本	하나 더	0
お仕事柄	일 관계상#M	0
ゲームオーバー	게임오버#M	1
プリセット	프리셋#M	1
オールウェイズ	올웨이즈#M	1
スカウター	스카우터#M	1
封じの	봉인의	0	//寄生封じの札
弓矢	화살#M	1	//魔法の弓矢を手に入れた
バランス	밸런스#M	1	//ゲームバランスが
アクティブ	액티브#M	1	//アクティブゲージ
行動力不足	행동력 부족#M	0
//最低	최저#M	0	//最低だ	最低過ぎでしょほんと！
ひとーつ	하~나	0
ふたーつ	두~울	0
格好つけな	폼잡이#N	1	//子供の頃から格好つけなのは
ギャーギャー	꽥꽥	0	//あんたらがギャーギャー騒ぐから、
土下座	무릎 꿇기#M	1	//俺は九条に土下座をした。	土下座するように身をかがめている。
半人前	반인분#N	1	//半人前以下。これも勉強です​
不真面目	불성실#M	1	//隊で一番不真面目のまま……
//真面目な	성실한#M	0	//真面目なミケユにしては珍しい」
//真面目	성실#M	0
あんちゃん	형씨#N	0	//ハーフエルフのあんちゃん
/騎士団員	기사 단원#N	0
/騎士団	기사단#N	0
/騎士	기사#N	0	//騎士殿
肉盛り	고기요리#N	0	//肉盛り用の塗料になる
肉盛り用	고기요리용#N	0
こっちのセリフ	이쪽의 대사#M	0	//こっちのセリフだっつーの！
主殿	주공#N	0	//お互いの目的の為に協力し合おう。主殿
D最低限	최소한#M	0	//最低限の生活はできるようにしておきたい
主音量	주음량#M	0
ペンタゴン	펜타곤#M	0
ご忠告どうも	충고 고마워#M	0
身動き一つ	동작 하나#M	0	//身動き一つせず、
まず一つ	일단 하나#M	0
//主人公	주인공#N	0
主人	주인#N	1	//さすがは俺の主だな。
水車	물레방아#M	0
精霊	정령#M	0
獣人族	수인족#N	0
あのあと	그 후#M	0	//あのあと、どうしてたんだ？
鹵獲	노획#M	0	//城砦を鹵獲しろ
剣先	칼끝#M	0	//兵も剣先を下ろした。
はいさよなら	그래  잘가고#M	0
雷精	뇌정#M	0
ねこぱんち	네코 펀치#M	0
ハル	하루#N	1	//ハルバード
霊石	영혼석#N	0
背丈木	키다리나무#M	0
菜畑	채소밭#M	0	//粘りの根菜畑
メッセージ	메시지#M	1
知り合い	아는 사람#N	0
なにがです	뭐가요	0
ギャハハ	갸하하	0
猫人	묘인#N	0
セキュリティー	시큐리티#M	0
男前	사나이#N	0	//心構えが男前って意味だよ
ジゴロ	지고로#N	0
神さま	신님#N	0	//神さま、信用しちゃダメ」
雪達磨	눈사람#N	0	//雪達磨達人
水源	수원#M	0	//そこに水源から取った水を流してやる。
大工事	대공사#M	0	//大工事も大工事、
ええい	에잇#M	0	//ええいせっかくの休息
鉱山跡	광산터#M	0	//これは鉱山跡じゃないぞ。
頭でっかち	어린 녀석#N	0	//頭でっかち。それで本当に主の命令なんて守れるの？
石つぶて	돌멩이#M	0	//石つぶて
年端	어린아이 연령#M	0	//投げたのは、年端もいかない女の子だ。
へへん	헤헹	0	//「へへん。速効で潰しちゃいました。
ようこそいらっしゃった	잘 오셨습니다	0
ようこそいらっしゃい	잘 오셨습니다	0
ガタイ	체격#M	0	//俺たちは奴らよりガタイがない」
キメ顔	멋진 표정#M	0	//ミケユをキメ顔のフィアが抱き締めている。
二心	이심#M	0	//二心抱かずと決めていたほど惚れ込んだ主君が、
長射程	장거리#M	0	//長射程岩投げ	임시
よろしくて	괜찮아	0	//「フィア、少し貴女にお話ししたいことがありますの。よろしくて？」
マッサージ	마사지#M	0
いいえ、	아니요,	0	//いえ、
データ	데이터#M	0	//データを取って
それがね	그게 말이야	0	//それがねアヴァロ。
飾り模様	장식 무늬#M	1	//遺跡でよく見かける飾り模様にも見えるが、
姫さま抱っこ	공주님 안기	0	//どうしてその子だけお姫さま抱っこしてるのよ
とと様	아버님#N	0	//とと様は、
賢き	현명한	0	//賢き妻のたしなみですわね」
もう一つの	또다른	0	//もう一つの問題は
古来から	예로부터	0	//古来より男に伝わっている情報を。
//ちゃん	짱	0	//ちゃんはやめて。ふふ」
アルラウネ	알라우네#N	1	//アルラウネに完全に
詳しそうな	잘 아는	0	//詳しそうな人物
国中	나라 안#M	1
ポップアップ	팝업#M	1
荒い吐息	거친 숨소리#M	1	// 荒い吐息、あえぎ声、
私サマ	이 몸#N	1
ちょうど	마침	0
もらうほう	받는 쪽	0
連れ立って	같이	0	//ランスとシルキィが連れ立って 連れ立って光を探した
耳打ち	귓속말#M	1	//そっと耳打ちした。
しばらく前	얼마 전	0	//しばらく前
ウスラトンカチ	멍청이#N	1	//そうなの！？っていうかなんでウスラトンカチが知ってるの！？
さぼり	농땡이#M	1	//サボりは許さんぞ」
チャーシュー	차슈#M	1	//いつものチャーシューじゃなくて
余裕顔	여유로운 얼굴#M	1	VBp	//いつまでも余裕顔でいられると思うなよ！
毎度あり	매번 고마워	0	//はーい、毎度ありー」
いやーん	싫엉~	0
はちみつ漬け	꿀절임#M	1	//にんじんのはちみつ漬けならあるけど」
無体な真似	무리한 짓#M	0	//無体な真似はしませんね？
大盛り	곱빼기#M	1	//大盛りで、お願い
意外なほど	의외일 정도로	0	//意外なほどに腹が立った」
仲良し	절친#M	1	//仲良しさんにはなれても
歯磨き粉	치약#M	1	//歯磨き粉なに味使ってる？
見返り	대가#M	1	//同時に改宗の見返りにと、
分かりきった	뻔한	0	//今更分かりきったことを言うでない。 分かりきった問答は省くさ。
笑顔	미소#M	1	//満面の笑顔
ご存知の通り	아시다시피	0	//ご存知の通り面倒なとこがあるから
ご存知のように	아시다시피	0	//ご存知のように
休憩中	휴식 중#M	1	//仕事が一段落しての休憩中、
メイド長	메이드장#N	1	YHn	//「メイド長なのに」
それ系	그것 계열#M	1	//それ系なら
フランクフルト	프랑크푸르트#M	1	//ワタアメとフランクフルトがある。いるか？
夏物語	여름 이야기#M	1	//夏物語
唇の端	입술 끝#M	1	//唇の端を吊り上げる。
些末事	사소한 일#M	1	//些末事よ。
うんともすんとも言わない	아무 말도 하지 않다	0
うんともすんとも	아무 말도	0
誰一人	누구도	0	//もう誰一人逃れられはしない 
隠し通路	비밀 통로#M	1	//こんな所に隠し通路
尻尾切り	꼬리 자르기#M	1	//尻尾切りで見捨てるんだから
エセ宗教	사이비 종교#M	1
裏扉	뒷문#M	1
内なる声	내면의 목소리#M	1
ご堪能下さい	만끽해 주세요	0
一歩先	한 걸음 앞#M	0
量より質	양보다 질	0
小ビン	소병#M	0
後処理	뒤처리#M	0	//人に後処理
汚れ役	궂은 역#M	0
負の連鎖	악순환#M	0
リボンニーソ	리본 니삭스#M	1	//裸リボンニ―ソ
ニーソリボン	니삭스 리본#M	1	//スク水ニ―ソリボン
ギャルビッチ	갸루 빗치#M	1
研究部屋	연구실#M	1
ワンパン	한방#M	1	//すべてをワンパンで片付けてくれるヒーロー
カラコン	컬러 렌즈#M	1
タコ殴り	마구 패버리기#M	1
1日中	하루 종일#M	1	//１日中
バングル	뱅글#M	1	//アイアンバングル
サークレット	서클렛#M	1	//ミスリルサークレット
ブレスト	브레스트#M	1	//ミスリルブレスト
ヘルム	헬름#M	1	//ミスリルヘルム
ノーム	노움#M	1
ニップル	니플#M	1
ニプル	니플#M	1
ニプルファック	니플 퍽#M	1
いいえ	아니요	0
アンチエイリアシング	안티 앨리어싱#M	1
ツリ目	치켜올라간 눈#M
ハイポーション	하이 포션#M	1
子め	애새끼#M	1	//戦争大好きっ子め
次項目	다음 항목#M	1
前項目	이전 항목#M	1
今だからこそ	지금이니까	0
ご承知おき下さい	알아두시기 바랍니다	0	//あらかじめご承知おきください
嘘のつき方	거짓말 하는 법	0
お茶会	다과회#M	1
大海賊	대해적#M	1
既読スルー	읽고 무시	1	//もう既読スルーしちゃうんだから
半刻	1시간#M	1	//持って半刻かそこらだろうか
雑人	천인#N	1
餞別品	전별품#M	1
当然の物	당연한 것	0	//当然の物がなかった
当然のもの	당연한 것	0
食べ合わせ	음식 궁합#M	1
へのへのもへじ	헤노헤노모헤지#M	1
パスポート	여권#M	1
しりとり	끝말잇기#M	1
本当の本当に	진짜 진짜	0	//本当の本当に何もせんから、
ど根性	초근성#M	1	//オーナーのど根性を見せてやる
すみませんねえ	미안하네요	0
エクボ	보조개#M	1
やる気マンマン	의욕 충만#M	1
呼び込み	호객#N	1
三尸	삼시#M	1
人皮	인피#M	1	//人皮で作られた魔導書
行者	행자#N	1	//行者にそう伝えて牛車に乗りこむ
射程	사거리#M	1
下がれ	물러서	0
鬼め	오니 녀석#M	0	//魔羅鬼め
くさい仲	케케묵은 사이#M	0
ちょっとやそっと	여간해서	0	//ちょっとやそっとじゃ倒れない
パルクール	파쿠르#M	1
飯前	식전#M	1
悪だくみ	흉계#M	1
着ぐるみ	인형탈#M	1
どなた様ですか	어느 분이십니까	0
英雄さん	영웅 씨#N	1
英雄	영웅#N	1
戦略家	전략가#N	1	//戦略家について
馴れ初め	친해진 계기#M	1
良さげな	좋은	0	//良さげな感じに遂行します。
良さげに	좋아	0	//良さげに見える	테스트
森近く	숲 근처#M	1	//森近くには小さな村がある
ラプラス	라플라스#M	1
馬の足音	말의 발굽소리#M	1	//耳が馬の足音を拾った
馬の足	말의 다리#M	1	//乗っている馬の足を絡めて引き倒す
四手	4수#M	1
尻目に	곁눈질로	0	//尻目に俺を窺いながら
漁師	어부#N	1	//洞窟へ行くかいと漁師は訊ねてきた
パワードスーツ	파워드 슈트#M	1
各階層	각 계층#M	1
体じゅう	온 몸#M	1
別行動	별도 행동#M	1
念写	염사#M	1
特殊技	특수기#M	1
預り所	보관소#M	1
ギミック	기믹#M	1	//ギミックを起動
アーカイブ	아카이브#M	1
鶏からあげ	닭튀김#M	1
なんらかの	어떠한	0	//なんらかのきっかけ
ウォッシュ	워시#M	1
マンズリ	자위#M	1
デバフ	디버프#M	1
緑髪	녹발#M	1
アイスキューブ	아이스 큐브#M	1
湖沿い	호숫가#M	1
エロステータス	에로 스테이터스#M	1	//エロステータス
キャラクエスト	캐릭터 퀘스트#M	1
辛い物	매운 것#M	1
安酒	싸구려 술	#M	1
七星	칠성#M	1	//七星一閃
段階目	단계#M	1	//4段階目を使用するには
春うらら	화창한 봄날#M	1	//春うららという言葉が相応しい。
建物の中	건물 안#M	1	//建物の中に入る
タルト	타르트#M	1
中ダメージ	중데미지	1	//敵全体に光属性の中ダメージを与える
變身中	변신 중	1
雨雫	빗방울#M	1
先先週	지지난주#M	1
中央街	중앙가#M	1
牡棒	남근#M	1
感心	감탄#M	1
子宮頚	자궁 경부#M	1
女医	여의사#M	1
教祖	교주#M	1
イキ癖	절정 버릇#M	1	//맞겟지
牝猫	암컷 고양이#M	1
プロナント	프로넌트#M	1
ダークネス	다크니스#M	1
クエイク	퀘이크#M	0
ルーアン	루안#M	1
ホブゴブリン	홉고블린#M	1
手羽	닭날개#M	1
錆の浮いた鍵	녹슨 열쇠#M	1
イグッ	이굿	0
あぶり出し	투명 잉크로 쓰인 종이#M	1	//あぶり出しのようだ
コレクション	컬렉션#M	1
クモの巣	거미줄#M	1
ようやく打ち止め	드디어 끝#M	0	//ようやく打ち止めか
傷一つ	상처 하나#M	1	//傷一つ負わせられんぞ
イレース	이레이스#M	1
マーダー	머더#M	1
オーバーキル	오버킬#M	1
城内装	성 내부#M	1
チャクラム	챠크람#M	1
エクステンシブ	익스텐시브#M	1
テラバースト	테라버스트#M	1
バーバリアン	바바리안#M	1
ヘルハウンド	헬하운드#M	1
カーペンター	카펜터#M	1
インタレスト	인터레스트#M	1
中確率	중확률#M	1
レジスト	레지스트#M	1
男共	남자들#N	1
屑共	쓰레기들#N	1
裸男	알몸 남자#N	1
ゴミ屑共	쓰레기 새끼들#N	1
グレネードランチャー	그레네이드 런처#M	1
魔力球	마력구#M	1
村の人	마을 사람#M	1
ポテチ	감자칩#M	1
冒険者	모험가#M	1
肛内	장내#M	0
ドラゴンズ	드래곤즈#M	1
他多数	기타 다수#M	1
道具屋	도구점#M	1
二頭統治	이두 통치#M	1
増長	증장#M	1	//男の増長を戒める
全クエスト	모든 퀘스트#M	1
大きな角	큰 뿔#M	1
エロイベント	에로 이벤트#M	1
まいどあり	매번 감사합니다	0
キラービー	킬러 비#M	1
ブルートゥース	블루투스#M	1
その必要	그럴 필요	0	//その必要はない
ビルの中	빌딩 안#M	1	//ビルの中よ、
黒漆	흑칠#M	1	//黒漆
樹の幹	나무 줄기#M	1	//樹の幹に生える厚くて堅い褐色のきのこ。
聞き覚え	들은 기억#M	1	//聞き覚えはないか？
座卓	좌탁#M	1
歌舞伎	가부키#M	1
うおっと	우옷토	0
ビッグフット	빅풋#M	1
与ダメージ	주는 데미지#M	1
被ダメージ	받는 데미지#M	1
その分身	그 분신	1
蓮池	연못#M	1
先込め銃	전장총#M	1
タイムストップ	타임 스톱#M	1
エクスプロージョン	익스플로전#M	1
ピンポン	핑퐁#M	0
サバイバル	서바이벌#M	1
ローラー	롤러#M	1
インジェクト	인젝트#M	1
エクサー	엑서#M	1
スラッシャー	슬래셔#M	1
簡体字	간체자#M	1
ロック中	잠금 중#M	1
